"PC1","PC2","group","name","X0","sizeFactor","replaceable","short_name","is_outlier"
-3.61334638276029,1.72167494838754,"R","LuC.131_S11_ME_L001_R1_001ReadsPerGene","R",1.36815746545496,TRUE,"LuC.131",FALSE
-22.0113175737013,-14.0402247600596,"NR","Luc.1_S10_R1_001ReadsPerGene","NR",0.056682805943745,TRUE,"Luc.1",FALSE
11.6249035261462,-18.8271426467728,"NR","LuC_62_S18_R1_001ReadsPerGene","NR",1.18037029130156,TRUE,"LuC",FALSE
-14.0747888311403,28.1262817695896,"NR","LuC.129_S2_ME_L001_R1_001ReadsPerGene","NR",1.09492093898177,TRUE,"LuC.129",TRUE
0.749136130491623,-13.1013919169725,"NR","LuC.125_S9_ME_L001_R1_001ReadsPerGene","NR",0.938471065111201,TRUE,"LuC.125",FALSE
4.27005051581993,-14.3649872752658,"NR","LuC_50_S5_R1_001ReadsPerGene","NR",0.566009052988439,TRUE,"LuC",FALSE
5.3588184067977,-7.06874258672322,"NR","LuC_67_S30_R1_001ReadsPerGene","NR",2.31632247216839,TRUE,"LuC",FALSE
11.0986889450357,-20.9527299108425,"R","LuC.78_S6_ME_L001_R1_001ReadsPerGene","R",1.99496959632731,TRUE,"LuC.78",FALSE
-10.6231861513576,27.3540081719181,"NR","LuC_70_S1_R1_001ReadsPerGene","NR",1.4118428971843,TRUE,"LuC",TRUE
9.72763983242324,-23.2027442343927,"NR","Luc_64_S23_R1_001ReadsPerGene","NR",0.60174474150225,TRUE,"Luc",FALSE
-21.4681795949719,39.1913772826467,"NR","LuC.91_S1_ME_L001_R1_001ReadsPerGene","NR",1.3179325715712,TRUE,"LuC.91",TRUE
-9.09269096521633,10.1017731389797,"NR","Luc_66_S24_R1_001ReadsPerGene","NR",1.16607128087329,TRUE,"Luc",FALSE
-4.33702384270193,-11.4281451774127,"NR","Luc_63_S22_R1_001ReadsPerGene","NR",0.84462730159926,TRUE,"Luc",FALSE
6.6766691780032,-18.9009029145164,"NR","LuC.123_S13_ME_L001_R1_001ReadsPerGene","NR",1.59644520542538,TRUE,"LuC.123",FALSE
-8.86829271009506,10.0038499753541,"NR","LuC.43_S12_R1_001ReadsPerGene","NR",1.5617415235724,TRUE,"LuC.43",FALSE
7.87902829783871,-5.03645576807944,"NR","LuC.17_S8_R1_001ReadsPerGene","NR",1.45082678058271,TRUE,"LuC.17",FALSE
6.68836009156728,-7.56560308184955,"NR","LuC_54_S12_R1_001ReadsPerGene","NR",1.14261882091947,TRUE,"LuC",FALSE
3.13822803812644,-12.3059818280809,"R","LuC_27_S10_R1_001ReadsPerGene","R",1.73187626789151,TRUE,"LuC",FALSE
-14.0644976378558,32.3874308309172,"NR","LuC.85_CGRNAReadsPerGene","NR",3.11102202059356,TRUE,"LuC.85",TRUE
-11.0466399061668,28.134519617008,"NR","LuC.111_S3_ME_L001_R1_001ReadsPerGene","NR",1.81385959935313,TRUE,"LuC.111",TRUE
