"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_symbol","significant"
26.448680532018,-24.4167500893644,3.31901558450627,-7.35662411570045,1.88619504577381e-13,4.58383120023952e-09,"ENSG00000236878","MTATP6P26","Significant"
5.69415993995171,-22.2956832064537,3.32029497646084,-6.71497061692364,1.88104120624605e-11,1.53999330800727e-07,"ENSG00000274721","ENSG00000274721","Significant"
5.46448536014344,-22.2431236522507,3.32033381454959,-6.6990624722075,2.09760911686472e-11,1.53999330800727e-07,"ENSG00000279336","ENSG00000279336","Significant"
5.15474346466186,-22.1514907376747,3.32039537074057,-6.67134129052049,2.53475978603781e-11,1.53999330800727e-07,"ENSG00000267563","ENSG00000267563","Significant"
5.88067806071829,-22.0107525456345,3.32026488456244,-6.62921583394548,3.37474830839871e-11,1.64026266781411e-07,"ENSG00000266987","ENSG00000266987","Significant"
4.88229262873011,-21.7392710376856,3.32045598082756,-6.54707400525983,5.8675291923877e-11,2.37654490722343e-07,"ENSG00000230585","PHBP12","Significant"
32.8000797221828,-6.04670022447295,0.97845774976542,-6.17982761741385,6.41716326582387e-10,2.22785573837217e-06,"ENSG00000259370","ENSG00000259370","Significant"
99.3886554098358,-5.58226261379027,0.987901768044433,-5.65062518800877,1.59865330122205e-08,4.85630906578728e-05,"ENSG00000204539","CDSN","Significant"
41.1404383589528,-5.23030270239912,0.934946300590324,-5.59422792420989,2.21605680232191e-08,5.98384582333634e-05,"ENSG00000245156","ENSG00000245156","Significant"
114.798608144934,-10.82619970238,1.94432507109721,-5.56810168387665,2.57529532996903e-08,6.25848271089074e-05,"ENSG00000159516","SPRR2G","Significant"
411.512762003826,-5.21770665374003,0.943747698635587,-5.52870927397595,3.22595437407958e-08,7.12701301808018e-05,"ENSG00000210196","MT-TP","Significant"
119.931283867069,-5.21665877217966,0.961934043345344,-5.42309403463624,5.85761571917989e-08,0.0001095013670827,"ENSG00000245970","ENSG00000245970","Significant"
6517.69591828349,-3.83353478409757,0.705258830353449,-5.4356423756883,5.45993672217731e-08,0.0001095013670827,"ENSG00000211459","MT-RNR1","Significant"
67.8383810353828,-5.40143800008603,1.00995377966271,-5.34820316419817,8.88317183719231e-08,0.000154199172848177,"ENSG00000269243","ENSG00000269243","Significant"
54.387904893014,-7.30053745957596,1.38789244923318,-5.26016080252442,1.43929478270903e-07,0.000233184945395965,"ENSG00000258757","ENSG00000258757","Significant"
19790.0153622039,-3.7662451479654,0.721613261138191,-5.21920168432735,1.79695998149804e-07,0.000272935759189784,"ENSG00000210082","MT-RNR2","Significant"
30.4689045594838,3.21643685798246,0.624082923120912,5.15386135210641,2.55176640656794e-07,0.000364782513014201,"ENSG00000075035","WSCD2","Significant"
53.7035998649963,-5.15336499537436,1.00203526667453,-5.14289782681692,2.70532768822679e-07,0.000365249297107152,"ENSG00000142619","PADI3","Significant"
73.0905727086983,-6.72819459501973,1.35012543450951,-4.98338481969568,6.24815128401057e-07,0.00079917143423171,"ENSG00000283787","ENSG00000283787","Significant"
251.318229274184,-5.40805430020589,1.09954995607232,-4.91842527966979,8.7243206945644e-07,0.00106009220759652,"ENSG00000189001","SBSN","Significant"
22.6377122144163,2.02697118397647,0.414166151635143,4.8941015000234,9.87558637089502e-07,0.00114284047612138,"ENSG00000271009","ENSG00000271009","Significant"
67.5078393508247,-3.64908333058147,0.755449654806747,-4.83034614863242,1.36295894900382e-06,0.00150557401721322,"ENSG00000084674","APOB","Significant"
35.4094325003604,-8.5113852743077,1.77411188004287,-4.79754708260113,1.60620461846607e-06,0.00157606327144017,"ENSG00000232928","DDX3P1","Significant"
18.2034089124067,-5.05623215803585,1.05433308928533,-4.79566866431478,1.62133082816247e-06,0.00157606327144017,"ENSG00000165799","RNASE7","Significant"
144.599289709799,-3.87990309245245,0.80656336501283,-4.81041324309433,1.50618569259453e-06,0.00157606327144017,"ENSG00000188505","NCCRP1","Significant"
53.0193128682182,2.79815212009901,0.587798691377021,4.76039188441174,1.93217417897805e-06,0.00180598834221249,"ENSG00000153253","SCN3A","Significant"
287.114890827303,-5.35874479405595,1.12856675007417,-4.74827456479978,2.05159397303904e-06,0.00184658654565906,"ENSG00000140519","RHCG","Significant"
7.90834705396828,4.7396301660222,1.0001454024208,4.73894111251243,2.14837921778837e-06,0.00186463970538189,"ENSG00000196361","ELAVL3","Significant"
46.4113694288199,-4.36079298880337,0.928464876613629,-4.69677755038876,2.64298017625011e-06,0.0022148173876976,"ENSG00000260894","ENSG00000260894","Significant"
