"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","significant_logFC1","significant_logFC2","significant_logFC3"
0.737513003442182,8.43034692732966,4.35498409893738,8.14200849187409e-05,0.353826902921012,-0.569279796817744,"ZSCAN18","Not significant","Not significant","Not significant"
-1.07480772463135,6.97013647722381,-4.31193737993236,9.32595948658439e-05,0.353826902921012,-0.637496397792028,"MYOM1","Significant","Not significant","Not significant"
-0.670027454332484,6.88819615786726,-4.0653745522564,0.000201247362501184,0.509021662219661,-1.02660011849934,"CDC14B","Not significant","Not significant","Not significant"
-1.07452885703783,8.81976473132016,-3.85265481216796,0.000385744726990336,0.546575883413173,-1.35900442085574,"CTSC","Significant","Not significant","Not significant"
-1.48589765945606,9.67610584481911,-3.79538985629781,0.000458546793021202,0.546575883413173,-1.44778606776958,"SUPT16H","Significant","Not significant","Not significant"
-0.637370565572461,8.52547910970667,-3.78884096010013,0.000467672969168917,0.546575883413173,-1.45791750742704,"TUBA3C","Not significant","Not significant","Not significant"
-0.735790108732823,6.61082366060553,-3.76379430267316,0.000504221294661599,0.546575883413173,-1.49662293073946,"SREK1","Not significant","Not significant","Not significant"
-0.938352637395371,12.6966591405456,-3.61640878954194,0.000781854994327066,0.666112776281153,-1.72289248832172,"KRT18","Not significant","Not significant","Not significant"
1.62601374464498,8.76985064967613,3.59948593798123,0.000821858965385427,0.666112776281153,-1.74869657276761,"BTG3","Significant","Not significant","Not significant"
-1.05484082799972,9.52452632500805,-3.57280551669524,0.000888947382291548,0.666112776281153,-1.78929966166268,"PON2","Significant","Not significant","Not significant"
-0.93384411668639,7.2140852858434,-3.54457762928382,0.000965635284540416,0.666112776281153,-1.83214905833374,"CYB5B","Not significant","Not significant","Not significant"
-0.824375648878792,8.56760489796811,-3.45013288761493,0.00127099784240962,0.758785467026663,-1.9746568303122,"CLCN3","Not significant","Not significant","Not significant"
0.737152095412692,11.24602288491,3.40597073189594,0.0014436165490267,0.758785467026663,-2.04081307716063,"SLIRP","Not significant","Not significant","Not significant"
-1.27341609857628,11.7579144166233,-3.39012593521515,0.00151083455702257,0.758785467026663,-2.06447056760453,"PDLIM1","Significant","Not significant","Not significant"
-0.942686626585763,8.64193426991653,-3.38265735644215,0.0015435433453016,0.758785467026663,-2.07560703406916,"TOX4","Not significant","Not significant","Not significant"
-0.603737762100943,7.44652097644016,-3.34011777646717,0.00174309749251828,0.758785467026663,-2.13885489419768,"NDE1","Not significant","Not significant","Not significant"
-0.733324265325193,9.91170624384087,-3.33795139556641,0.00175389063369252,0.758785467026663,-2.14206738736142,"EXTL2","Not significant","Not significant","Not significant"
0.572754735226359,7.95933385574645,3.32884372519039,0.00179996552536636,0.758785467026663,-2.15556386850101,"SUCLG1","Not significant","Not significant","Not significant"
1.53101228639105,9.47770783535293,3.24376078449885,0.00228967362946605,0.770683955314534,-2.28091169925585,"NPR1","Significant","Not significant","Not significant"
1.20991422539103,8.95096056715997,3.21523909941453,0.00248039441655531,0.770683955314534,-2.32262291015531,"SCYL2","Significant","Not significant","Not significant"
-1.07536931648688,6.91205799905092,-3.21042105518337,0.00251406190126652,0.770683955314534,-2.32965319687793,"DNAJC22","Significant","Not significant","Not significant"
-1.4595082111421,8.99532084045929,-3.20035793308213,0.00258578135083653,0.770683955314534,-2.34432196164113,"SPRY1","Significant","Not significant","Not significant"
-1.11187306143022,7.64757208917117,-3.19825597619529,0.00260100438679478,0.770683955314534,-2.34738337281016,"GCNT1","Significant","Not significant","Not significant"
-1.19078757735765,8.99670479186,-3.19446445535098,0.0026286784496672,0.770683955314534,-2.35290331561173,"PRIM1","Significant","Not significant","Not significant"
-0.80443272683615,10.789438819974,-3.18541935639635,0.00269582718839634,0.770683955314534,-2.36606003639572,"HEXB","Not significant","Not significant","Not significant"
-1.010077857857,9.53981459399133,-3.16771419153294,0.00283198848803859,0.770683955314534,-2.39176519420633,"FANCL","Significant","Not significant","Not significant"
-1.36567925387238,8.42095529399087,-3.15529829044083,0.00293132211912636,0.770683955314534,-2.40975266562436,"TPBG","Significant","Not significant","Not significant"
0.663340767223032,12.2431778280184,3.15386087076775,0.00294303246985691,0.770683955314534,-2.4118330523626,"NME2","Not significant","Not significant","Not significant"
-0.641462859818888,8.16126517118196,-3.14801497907311,0.00299111444998727,0.770683955314534,-2.42028940468747,"KIAA0040","Not significant","Not significant","Not significant"
0.85107105372408,11.7767845565119,3.11995888228283,0.00323237321467785,0.770683955314534,-2.46077360663696,"PEBP1","Not significant","Not significant","Not significant"
-0.377128659639513,9.56544085674427,-3.10987958340782,0.00332344236800789,0.770683955314534,-2.47527677862612,"HNRNPC","Not significant","Not significant","Not significant"
-1.03704158246487,7.86363482856832,-3.09616579743117,0.00345123900619331,0.770683955314534,-2.49497436230695,"SLCO2A1","Significant","Not significant","Not significant"
0.723305458039444,8.03272762089583,3.09214489118609,0.00348957812492517,0.770683955314534,-2.50074196244361,"ACADS","Not significant","Not significant","Not significant"
0.35652882022137,7.25891014396248,3.07588984554328,0.00364869509092106,0.770683955314534,-2.52402203431443,"NDUFA10","Not significant","Not significant","Not significant"
1.27884996382291,11.000675981538,3.06481810268286,0.00376095678877236,0.770683955314534,-2.53984519232439,"ARMCX2","Significant","Not significant","Not significant"
0.559777932323244,8.21751674111129,3.05751773159209,0.00383674766646136,0.770683955314534,-2.55026351104539,"AP5S1","Not significant","Not significant","Not significant"
0.629821496891649,7.5650082633973,3.05207036215757,0.00389423424901636,0.770683955314534,-2.55802961228139,"NFIX","Not significant","Not significant","Not significant"
-0.786861210273241,8.90569528694107,-3.04562400635934,0.003963309196081,0.770683955314534,-2.56721126469826,"SPCS3","Not significant","Not significant","Not significant"
1.53830277945048,9.4010455701732,3.02811224240113,0.00415681117891971,0.770683955314534,-2.59210579475384,"CXADR","Significant","Not significant","Not significant"
0.598646422089147,7.12467118978301,3.02500617429297,0.00419204587122002,0.770683955314534,-2.59651400543689,"LTBP4","Not significant","Not significant","Not significant"
-2.50320822616059,7.98314059071911,-3.02154002297411,0.00423169625905629,0.770683955314534,-2.60143062804073,"CLDN6","Significant","Significant","Not significant"
-0.814514933089382,7.44338790445514,-3.01597953676251,0.00429604056611006,0.770683955314534,-2.60931218995915,"NCOA2","Not significant","Not significant","Not significant"
0.576662499830373,13.2708535872662,2.98970301541517,0.00461271691004073,0.770683955314534,-2.64645950842788,"RPL29","Not significant","Not significant","Not significant"
-0.727034568279828,7.81894697844856,-2.97346084959925,0.0048192690081825,0.770683955314534,-2.66933962348884,"NFAT5","Not significant","Not significant","Not significant"
-0.55785563100349,7.96013203813158,-2.94611462386304,0.005186713635971,0.770683955314534,-2.70771868328512,"SETX","Not significant","Not significant","Not significant"
1.23677379023389,10.2621911081432,2.94428060264176,0.00521227175135791,0.770683955314534,-2.71028614053819,"GAB2","Significant","Not significant","Not significant"
-1.13935553790023,8.018973960126,-2.93702306239274,0.00531456915731754,0.770683955314534,-2.7204379306002,"TGM2","Significant","Not significant","Not significant"
-0.694352173380872,8.72354493849907,-2.93417171226556,0.00535527100960941,0.770683955314534,-2.72442283523878,"TBC1D9","Not significant","Not significant","Not significant"
1.38034885083262,7.84320637876471,2.93175542258898,0.00538999041443143,0.770683955314534,-2.7277981526143,"GATA6","Significant","Not significant","Not significant"
-1.18494982138077,9.6642644934482,-2.92139325874788,0.00554128195602266,0.770683955314534,-2.74225669156302,"ANXA1","Significant","Not significant","Not significant"
1.19767817405928,9.05250436718559,2.92100903484564,0.00554696731898968,0.770683955314534,-2.74279229472927,"C21orf91","Significant","Not significant","Not significant"
0.753942390283912,7.4639108149602,2.91722337661124,0.00560327573296669,0.770683955314534,-2.7480674882192,"LSS","Not significant","Not significant","Not significant"
1.17406059095903,11.8222288740251,2.91585720110519,0.00562372716196515,0.770683955314534,-2.74997033263494,"DHCR24","Significant","Not significant","Not significant"
-0.622031305284692,9.36478486414496,-2.9158464184481,0.00562388885349275,0.770683955314534,-2.74998534914423,"METTL17","Not significant","Not significant","Not significant"
-1.11787008431086,8.43392070814038,-2.91449191100946,0.00564423495106145,0.770683955314534,-2.75187147823144,"KLHL2","Significant","Not significant","Not significant"
-0.821941686062175,8.11445204140936,-2.91161320908512,0.00568770446726594,0.770683955314534,-2.7558784993473,"NUP210","Not significant","Not significant","Not significant"
-1.75555730291535,8.77513014582833,-2.87253725445505,0.00630952248477525,0.826649766769533,-2.81006340288479,"HOXC6","Significant","Not significant","Not significant"
0.470900945150533,9.57485266891242,2.86290780882941,0.00647219868751444,0.826649766769533,-2.82335619163645,"COX6A1","Not significant","Not significant","Not significant"
-0.680122781782495,8.27432673263676,-2.85643289008413,0.00658377022711865,0.826649766769533,-2.83228087703919,"ZC3H7A","Not significant","Not significant","Not significant"
-0.700043322495372,8.48524477201734,-2.85153504011577,0.00666935315751446,0.826649766769533,-2.83902457069275,"LITAF","Not significant","Not significant","Not significant"
0.4993216993838,9.2261443343245,2.84155836604921,0.00684689227337291,0.826649766769533,-2.85274174417599,"ATP5PO","Not significant","Not significant","Not significant"
-0.68651889545087,7.79517543670013,-2.84025975182991,0.00687032228015482,0.826649766769533,-2.85452532036591,"PLXNA2","Not significant","Not significant","Not significant"
0.590302781632502,9.49222764578093,2.8279934883586,0.00709534113541391,0.826649766769533,-2.87135043053321,"MRPS22","Not significant","Not significant","Not significant"
0.536387447016373,7.18794021644712,2.82785124086455,0.00709799032122227,0.826649766769533,-2.8715453119234,"CPNE7","Not significant","Not significant","Not significant"
0.530139078236077,6.772003425538,2.82257152210215,0.00719697124768691,0.826649766769533,-2.87877481212752,"NDUFB7","Not significant","Not significant","Not significant"
-0.743740917148662,10.7722568877697,-2.82209213731876,0.00720602167179991,0.826649766769533,-2.87943086497732,"GTF2I","Not significant","Not significant","Not significant"
0.751414725562038,9.12432673848809,2.81719438801244,0.00729909519946741,0.826649766769533,-2.8861300763418,"FAM117A","Not significant","Not significant","Not significant"
0.910965402823521,11.9138567139345,2.80155817947519,0.00760375869900568,0.8481573161313,-2.90747451983639,"GPI","Not significant","Not significant","Not significant"
-0.475408650489668,7.86923908562412,-2.79611513990215,0.00771255334911172,0.8481573161313,-2.91488917446259,"KLHL25","Not significant","Not significant","Not significant"
-1.09982521858343,8.45084161352358,-2.77450803358666,0.00815882872505284,0.861667744406082,-2.94424351626828,"RAB27A","Significant","Not significant","Not significant"
-1.22728858514956,7.53409577378064,-2.77338312593181,0.0081827054420866,0.861667744406082,-2.94576826307673,"HOXA4","Significant","Not significant","Not significant"
0.583370185119426,8.53830212257094,2.77009640846887,0.00825283896386318,0.861667744406082,-2.9502212231432,"ZBTB22","Not significant","Not significant","Not significant"
0.39109106004776,7.20462330330171,2.76838237300845,0.00828963433601001,0.861667744406082,-2.95254227816891,"CFAP410","Not significant","Not significant","Not significant"
0.417293356062211,7.39939494167612,2.75835909473585,0.00850786401053474,0.862466466859635,-2.96609901205822,"TLN2","Not significant","Not significant","Not significant"
-0.943898900523837,9.5758333181323,-2.75626950618698,0.00855402378990764,0.862466466859635,-2.96892172561823,"CTSO","Not significant","Not significant","Not significant"
0.650887746837549,9.96348663139741,2.75242538777618,0.00863954762629981,0.862466466859635,-2.97411136850836,"FAM162A","Not significant","Not significant","Not significant"
0.691647444960503,9.5034037342971,2.74077831483659,0.00890352419901132,0.862466466859635,-2.98980998879945,"THAP4","Not significant","Not significant","Not significant"
-0.966053920643534,10.0609318587787,-2.72248548652387,0.0093332139560351,0.862466466859635,-3.01438917161297,"RPA3","Not significant","Not significant","Not significant"
-0.650359808966674,10.1616155140044,-2.72101687603518,0.00936852846714375,0.862466466859635,-3.01635836555349,"CIB1","Not significant","Not significant","Not significant"
1.12161758551884,8.48101985595174,2.71912457606603,0.00941421301502134,0.862466466859635,-3.01889476172386,"GSTZ1","Significant","Not significant","Not significant"
1.9721847963821,9.43281274120357,2.71475143630177,0.00952057884055645,0.862466466859635,-3.02475251865054,"ADAMTS1","Significant","Not significant","Not significant"
0.930383034911467,11.0907526871679,2.7147283171865,0.00952114409196314,0.862466466859635,-3.02478347187894,"PGM1","Not significant","Not significant","Not significant"
-0.826817726168478,7.713278592277,-2.7074271112256,0.00970121266107421,0.862466466859635,-3.03455111278875,"TRIB1","Not significant","Not significant","Not significant"
-0.682418142727505,7.03296920324654,-2.69449687012363,0.0100278378323283,0.862466466859635,-3.05181180243879,"ARHGEF40","Not significant","Not significant","Not significant"
-0.750109672374958,9.58153667767689,-2.67744102648257,0.0104741875224277,0.862466466859635,-3.07450582885979,"PPID","Not significant","Not significant","Not significant"
-0.8566037055307,7.45934112015807,-2.67663637150556,0.010495690510223,0.862466466859635,-3.07557438851819,"CBR4","Not significant","Not significant","Not significant"
-1.20173890703542,7.55319140039541,-2.67311426779914,0.0105902917103442,0.862466466859635,-3.08024941761137,"LEF1","Significant","Not significant","Not significant"
